match_date,host_country,host_city,stadium_name,match_type,match_period,first_batting_team,second_batting_team,first_batting_team_score,second_batting_team_score,winning_team,margin,margin_type,winning_condition,season,season_winner,note
28-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",48th Match,Night,Royal Challengers Bengaluru,Mumbai Indians,164/6,166/5,Mumbai Indians,5,wickets,5 balls remaining,2020,Mumbai Indians,
27-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,47th Match,Night,Delhi Capitals,Sunrisers Hyderabad,219/2,131/10,Sunrisers Hyderabad,88,runs,,2020,Mumbai Indians,
26-10-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,46th Match,Night,Punjab Kings,Kolkata Knight Riders,149/9,150/2,Punjab Kings,8,wickets,7 balls remaining,2020,Mumbai Indians,
25-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",45th Match,Night,Mumbai Indians,Rajasthan Royals,195/5,196/2,Rajasthan Royals,8,wickets,10 balls remaining,2020,Mumbai Indians,
25-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,44th Match,Day,Chennai Super Kings,Royal Challengers Bengaluru,145/6,150/2,Chennai Super Kings,8,wickets,8 balls remaining,2020,Mumbai Indians,
24-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,43rd Match,Night,Sunrisers Hyderabad,Punjab Kings,126/7,114/10,Punjab Kings,12,runs,,2020,Mumbai Indians,
24-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",42nd Match,Day,Delhi Capitals,Kolkata Knight Riders,194/6,135/9,Kolkata Knight Riders,59,runs,,2020,Mumbai Indians,
23-10-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,41st Match,Night,Mumbai Indians,Chennai Super Kings,114/9,116/0,Mumbai Indians,10,wickets,46 balls remaining,2020,Mumbai Indians,
22-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,40th Match,Night,Sunrisers Hyderabad,Rajasthan Royals,154/6,156/2,Sunrisers Hyderabad,8,wickets,11 balls remaining,2020,Mumbai Indians,
21-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",39th Match,Night,Royal Challengers Bengaluru,Kolkata Knight Riders,84/8,85/2,Royal Challengers Bengaluru,8,wickets,39 balls remaining,2020,Mumbai Indians,
20-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,38th Match,Night,Delhi Capitals,Punjab Kings,164/5,167/5,Punjab Kings,5,wickets,6 balls remaining,2020,Mumbai Indians,
19-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",37th Match,Night,Rajasthan Royals,Chennai Super Kings,125/5,126/3,Rajasthan Royals,7,wickets,15 balls remaining,2020,Mumbai Indians,
18-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,36th Match,Night,Punjab Kings,Mumbai Indians,176/6,176/6,Tied,0,,,2020,Mumbai Indians,
18-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",35th Match,Day,Kolkata Knight Riders,Sunrisers Hyderabad,163/5,163/6,Tied,0,,,2020,Mumbai Indians,
17-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,33rd Match,Day,Royal Challengers Bengaluru,Rajasthan Royals,177/6,179/3,Royal Challengers Bengaluru,7,wickets,2 balls remaining,2020,Mumbai Indians,
17-10-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,34th Match,Night,Chennai Super Kings,Delhi Capitals,179/4,185/5,Delhi Capitals,5,wickets,1 balls remaining,2020,Mumbai Indians,
16-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",32nd Match,Night,Kolkata Knight Riders,Mumbai Indians,148/5,149/2,Mumbai Indians,8,wickets,19 balls remaining,2020,Mumbai Indians,
15-10-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,31st Match,Night,Punjab Kings,Royal Challengers Bengaluru,171/6,177/2,Punjab Kings,8,wickets,,2020,Mumbai Indians,
14-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,30th Match,Night,Rajasthan Royals,Delhi Capitals,161/7,148/8,Delhi Capitals,13,runs,,2020,Mumbai Indians,
13-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,29th Match,Night,Chennai Super Kings,Sunrisers Hyderabad,167/6,147/8,Chennai Super Kings,20,runs,,2020,Mumbai Indians,
12-10-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,28th Match,Night,Kolkata Knight Riders,Royal Challengers Bengaluru,194/2,112/9,Royal Challengers Bengaluru,82,runs,,2020,Mumbai Indians,
11-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",27th Match,Night,Delhi Capitals,Mumbai Indians,162/4,166/5,Mumbai Indians,5,wickets,2 balls remaining,2020,Mumbai Indians,
11-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,26th Match,Day,Rajasthan Royals,Sunrisers Hyderabad,158/4,163/5,Rajasthan Royals,5,wickets,1 balls remaining,2020,Mumbai Indians,
10-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",24th Match,Day,Kolkata Knight Riders,Punjab Kings,164/6,162/5,Kolkata Knight Riders,2,runs,,2020,Mumbai Indians,
10-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,25th Match,Night,Royal Challengers Bengaluru,Chennai Super Kings,169/4,132/8,Royal Challengers Bengaluru,37,runs,,2020,Mumbai Indians,
09-10-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,23rd Match,Night,Delhi Capitals,Rajasthan Royals,184/8,138/10,Delhi Capitals,46,runs,,2020,Mumbai Indians,
08-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,22nd Match,Night,Punjab Kings,Sunrisers Hyderabad,201/6,132/10,Sunrisers Hyderabad,69,runs,,2020,Mumbai Indians,
07-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",21st Match,Night,Chennai Super Kings,Kolkata Knight Riders,167/10,157/5,Kolkata Knight Riders,10,runs,,2020,Mumbai Indians,
06-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",20th Match,Night,Rajasthan Royals,Mumbai Indians,193/4,136/10,Mumbai Indians,57,runs,,2020,Mumbai Indians,
05-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,19th Match,Night,Delhi Capitals,Royal Challengers Bengaluru,196/4,137/9,Delhi Capitals,59,runs,,2020,Mumbai Indians,
04-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,18th Match,Night,Chennai Super Kings,Punjab Kings,178/4,181/0,Chennai Super Kings,10,wickets,14 balls remaining,2020,Mumbai Indians,
04-10-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,17th Match,Day,Sunrisers Hyderabad,Mumbai Indians,208/5,174/7,Mumbai Indians,34,runs,,2020,Mumbai Indians,
03-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",15th Match,Day,Rajasthan Royals,Royal Challengers Bengaluru,154/6,158/2,Royal Challengers Bengaluru,8,wickets,5 balls remaining,2020,Mumbai Indians,
03-10-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,16th Match,Night,Kolkata Knight Riders,Delhi Capitals,228/4,210/8,Delhi Capitals,18,runs,,2020,Mumbai Indians,
02-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,14th Match,Night,Sunrisers Hyderabad,Chennai Super Kings,164/5,157/5,Sunrisers Hyderabad,7,runs,,2020,Mumbai Indians,
01-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",13th Match,Night,Mumbai Indians,Punjab Kings,191/4,143/8,Mumbai Indians,48,runs,,2020,Mumbai Indians,
30-09-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,12th Match,Night,Kolkata Knight Riders,Rajasthan Royals,174/6,137/9,Kolkata Knight Riders,37,runs,,2020,Mumbai Indians,
29-09-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",11th Match,Night,Sunrisers Hyderabad,Delhi Capitals,162/4,147/7,Sunrisers Hyderabad,15,runs,,2020,Mumbai Indians,
28-09-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,10th Match,Night,Mumbai Indians,Royal Challengers Bengaluru,201/3,201/5,Tied,0,,,2020,Mumbai Indians,
27-09-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,9th Match,Night,Punjab Kings,Rajasthan Royals,223/2,226/6,Rajasthan Royals,4,wickets,3 balls remaining,2020,Mumbai Indians,
26-09-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",8th Match,Night,Sunrisers Hyderabad,Kolkata Knight Riders,142/4,145/3,Kolkata Knight Riders,7,wickets,12 balls remaining,2020,Mumbai Indians,
25-09-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,7th Match,Night,Delhi Capitals,Chennai Super Kings,175/3,131/7,Delhi Capitals,44,runs,,2020,Mumbai Indians,
24-09-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,6th Match,Night,Royal Challengers Bengaluru,Punjab Kings,206/3,109/10,Punjab Kings,97,runs,,2020,Mumbai Indians,
23-09-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",5th Match,Night,Mumbai Indians,Kolkata Knight Riders,195/5,146/9,Mumbai Indians,49,runs,,2020,Mumbai Indians,
22-09-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,4th Match,Night,Chennai Super Kings,Rajasthan Royals,216/7,200/6,Rajasthan Royals,16,runs,,2020,Mumbai Indians,
21-09-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,3rd Match,Night,Royal Challengers Bengaluru,Sunrisers Hyderabad,163/5,153/10,Royal Challengers Bengaluru,10,runs,,2020,Mumbai Indians,
20-09-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,2nd Match,Night,Punjab Kings,Delhi Capitals,157/8,157/8,Tied,0,,,2020,Mumbai Indians,
19-09-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",1st Match,Night,Chennai Super Kings,Mumbai Indians,162/9,166/5,Chennai Super Kings,5,wickets,4 balls remaining,2020,Mumbai Indians,
12-05-2019,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Final,Night,Mumbai Indians,Chennai Super Kings,149/8,148/7,Mumbai Indians,1,runs,,2019,Mumbai Indians,
10-05-2019,India,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Qualifier 2,Night,Delhi Capitals,Chennai Super Kings,147/9,151/4,Chennai Super Kings,6,wickets,6 balls remaining,2019,Mumbai Indians,
08-05-2019,India,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Eliminator,Night,Delhi Capitals,Sunrisers Hyderabad,162/8,165/8,Delhi Capitals,2,wickets,1 balls remaining,2019,Mumbai Indians,
07-05-2019,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Qualifier 1,Night,Mumbai Indians,Chennai Super Kings,131/4,132/4,Mumbai Indians,6,wickets,9 balls remaining,2019,Mumbai Indians,
05-05-2019,India,Mumbai,"Wankhede Stadium, Mumbai",56th Match,Night,Kolkata Knight Riders,Mumbai Indians,133/7,134/1,Mumbai Indians,9,wickets,23 balls remaining,2019,Mumbai Indians,
05-05-2019,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,55th Match,Day/Night,Chennai Super Kings,Punjab Kings,170/5,173/4,Punjab Kings,6,wickets,12 balls remaining,2019,Mumbai Indians,
04-05-2019,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",54th Match,Night,Sunrisers Hyderabad,Royal Challengers Bengaluru,175/7,178/6,Royal Challengers Bengaluru,4,wickets,4 balls remaining,2019,Mumbai Indians,
04-05-2019,India,Delhi,"Arun Jaitley Stadium, Delhi",53rd Match,Day/Night,Rajasthan Royals,Delhi Capitals,115/9,121/5,Delhi Capitals,5,wickets,23 balls remaining,2019,Mumbai Indians,
03-05-2019,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,52nd Match,Night,Kolkata Knight Riders,Punjab Kings,183/6,185/3,Kolkata Knight Riders,7,wickets,12 balls remaining,2019,Mumbai Indians,
02-05-2019,India,Mumbai,"Wankhede Stadium, Mumbai",51st Match,Night,Sunrisers Hyderabad,Mumbai Indians,162/5,162/6,Tied,0,,,2019,Mumbai Indians,
01-05-2019,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",50th Match,Night,Delhi Capitals,Chennai Super Kings,179/4,99/10,Chennai Super Kings,80,runs,,2019,Mumbai Indians,
30-04-2019,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",49th Match,Night,Rajasthan Royals,Royal Challengers Bengaluru,62/7,41/1,No Result,0,,,2019,Mumbai Indians,
29-04-2019,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",48th Match,Night,Punjab Kings,Sunrisers Hyderabad,212/6,167/8,Sunrisers Hyderabad,45,runs,,2019,Mumbai Indians,
28-04-2019,India,Kolkata,"Eden Gardens, Kolkata",47th Match,Night,Mumbai Indians,Kolkata Knight Riders,232/2,198/7,Kolkata Knight Riders,34,runs,,2019,Mumbai Indians,
28-04-2019,India,Delhi,"Arun Jaitley Stadium, Delhi",46th Match,Day/Night,Royal Challengers Bengaluru,Delhi Capitals,187/5,171/7,Delhi Capitals,16,runs,,2019,Mumbai Indians,
27-04-2019,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",45th Match,Night,Sunrisers Hyderabad,Rajasthan Royals,160/8,161/3,Rajasthan Royals,7,wickets,5 balls remaining,2019,Mumbai Indians,
26-04-2019,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",44th Match,Night,Mumbai Indians,Chennai Super Kings,155/4,109/10,Mumbai Indians,46,runs,,2019,Mumbai Indians,
25-04-2019,India,Kolkata,"Eden Gardens, Kolkata",43rd Match,Night,Rajasthan Royals,Kolkata Knight Riders,175/6,177/7,Rajasthan Royals,3,wickets,4 balls remaining,2019,Mumbai Indians,
24-04-2019,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",42nd Match,Night,Punjab Kings,Royal Challengers Bengaluru,202/4,185/7,Royal Challengers Bengaluru,17,runs,,2019,Mumbai Indians,
23-04-2019,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",41st Match,Night,Sunrisers Hyderabad,Chennai Super Kings,175/3,176/4,Chennai Super Kings,6,wickets,1 balls remaining,2019,Mumbai Indians,
22-04-2019,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",40th Match,Night,Delhi Capitals,Rajasthan Royals,191/6,193/4,Delhi Capitals,6,wickets,4 balls remaining,2019,Mumbai Indians,
21-04-2019,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",39th Match,Night,Chennai Super Kings,Royal Challengers Bengaluru,161/7,160/8,Royal Challengers Bengaluru,1,runs,,2019,Mumbai Indians,
21-04-2019,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",38th Match,Day/Night,Kolkata Knight Riders,Sunrisers Hyderabad,159/8,161/1,Sunrisers Hyderabad,9,wickets,30 balls remaining,2019,Mumbai Indians,
20-04-2019,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",36th Match,Day/Night,Mumbai Indians,Rajasthan Royals,161/5,162/5,Rajasthan Royals,5,wickets,5 balls remaining,2019,Mumbai Indians,
20-04-2019,India,Delhi,"Arun Jaitley Stadium, Delhi",37th Match,Night,Punjab Kings,Delhi Capitals,163/7,166/5,Delhi Capitals,5,wickets,2 balls remaining,2019,Mumbai Indians,
19-04-2019,India,Kolkata,"Eden Gardens, Kolkata",35th Match,Night,Royal Challengers Bengaluru,Kolkata Knight Riders,213/4,203/5,Royal Challengers Bengaluru,10,runs,,2019,Mumbai Indians,
18-04-2019,India,Delhi,"Arun Jaitley Stadium, Delhi",34th Match,Night,Mumbai Indians,Delhi Capitals,168/5,128/9,Mumbai Indians,40,runs,,2019,Mumbai Indians,
17-04-2019,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",33rd Match,Night,Chennai Super Kings,Sunrisers Hyderabad,132/5,137/4,Sunrisers Hyderabad,6,wickets,19 balls remaining,2019,Mumbai Indians,
16-04-2019,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,32nd Match,Night,Rajasthan Royals,Punjab Kings,182/6,170/7,Punjab Kings,12,runs,,2019,Mumbai Indians,
15-04-2019,India,Mumbai,"Wankhede Stadium, Mumbai",31st Match,Night,Royal Challengers Bengaluru,Mumbai Indians,171/7,172/5,Mumbai Indians,5,wickets,6 balls remaining,2019,Mumbai Indians,
14-04-2019,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",30th Match,Night,Delhi Capitals,Sunrisers Hyderabad,155/7,116/10,Delhi Capitals,39,runs,,2019,Mumbai Indians,
14-04-2019,India,Kolkata,"Eden Gardens, Kolkata",29th Match,Day/Night,Chennai Super Kings,Kolkata Knight Riders,161/8,162/5,Chennai Super Kings,5,wickets,2 balls remaining,2019,Mumbai Indians,
13-04-2019,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,28th Match,Night,Royal Challengers Bengaluru,Punjab Kings,173/4,174/2,Royal Challengers Bengaluru,8,wickets,4 balls remaining,2019,Mumbai Indians,
13-04-2019,India,Mumbai,"Wankhede Stadium, Mumbai",27th Match,Day/Night,Rajasthan Royals,Mumbai Indians,187/5,188/6,Rajasthan Royals,4,wickets,3 balls remaining,2019,Mumbai Indians,
12-04-2019,India,Kolkata,"Eden Gardens, Kolkata",26th Match,Night,Delhi Capitals,Kolkata Knight Riders,178/7,180/3,Delhi Capitals,7,wickets,7 balls remaining,2019,Mumbai Indians,
11-04-2019,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",25th Match,Night,Chennai Super Kings,Rajasthan Royals,151/7,155/6,Chennai Super Kings,4,wickets,,2019,Mumbai Indians,
10-04-2019,India,Mumbai,"Wankhede Stadium, Mumbai",24th Match,Night,Punjab Kings,Mumbai Indians,197/4,198/7,Mumbai Indians,3,wickets,,2019,Mumbai Indians,
09-04-2019,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",23rd Match,Night,Kolkata Knight Riders,Chennai Super Kings,108/9,111/3,Chennai Super Kings,7,wickets,16 balls remaining,2019,Mumbai Indians,
08-04-2019,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,22nd Match,Night,Sunrisers Hyderabad,Punjab Kings,150/4,151/4,Punjab Kings,6,wickets,1 balls remaining,2019,Mumbai Indians,
07-04-2019,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",21st Match,Night,Kolkata Knight Riders,Rajasthan Royals,139/3,140/2,Kolkata Knight Riders,8,wickets,37 balls remaining,2019,Mumbai Indians,
07-04-2019,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",20th Match,Day/Night,Delhi Capitals,Royal Challengers Bengaluru,149/8,152/6,Delhi Capitals,4,wickets,7 balls remaining,2019,Mumbai Indians,
06-04-2019,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",18th Match,Day/Night,Punjab Kings,Chennai Super Kings,160/3,138/5,Chennai Super Kings,22,runs,,2019,Mumbai Indians,
06-04-2019,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",19th Match,Night,Mumbai Indians,Sunrisers Hyderabad,136/7,96/10,Mumbai Indians,40,runs,,2019,Mumbai Indians,
05-04-2019,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",17th Match,Night,Kolkata Knight Riders,Royal Challengers Bengaluru,205/3,206/5,Kolkata Knight Riders,5,wickets,5 balls remaining,2019,Mumbai Indians,
04-04-2019,India,Delhi,"Arun Jaitley Stadium, Delhi",16th Match,Night,Sunrisers Hyderabad,Delhi Capitals,129/8,131/5,Sunrisers Hyderabad,5,wickets,9 balls remaining,2019,Mumbai Indians,
03-04-2019,India,Mumbai,"Wankhede Stadium, Mumbai",15th Match,Night,Chennai Super Kings,Mumbai Indians,170/5,133/8,Mumbai Indians,37,runs,,2019,Mumbai Indians,
02-04-2019,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",14th Match,Night,Royal Challengers Bengaluru,Rajasthan Royals,158/4,164/3,Rajasthan Royals,7,wickets,1 balls remaining,2019,Mumbai Indians,
01-04-2019,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,13th Match,Night,Delhi Capitals,Punjab Kings,166/9,152/10,Punjab Kings,14,runs,,2019,Mumbai Indians,
31-03-2019,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",12th Match,Night,Rajasthan Royals,Chennai Super Kings,175/5,167/8,Chennai Super Kings,8,runs,,2019,Mumbai Indians,
31-03-2019,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",11th Match,Day/Night,Royal Challengers Bengaluru,Sunrisers Hyderabad,231/2,113/10,Sunrisers Hyderabad,118,runs,,2019,Mumbai Indians,
30-03-2019,India,Delhi,"Arun Jaitley Stadium, Delhi",10th Match,Night,Kolkata Knight Riders,Delhi Capitals,185/8,185/6,Tied,0,,,2019,Mumbai Indians,
30-03-2019,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,9th Match,Day/Night,Mumbai Indians,Punjab Kings,176/7,177/2,Punjab Kings,8,wickets,8 balls remaining,2019,Mumbai Indians,
29-03-2019,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",8th Match,Night,Rajasthan Royals,Sunrisers Hyderabad,198/2,201/5,Sunrisers Hyderabad,5,wickets,6 balls remaining,2019,Mumbai Indians,
28-03-2019,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",7th Match,Night,Mumbai Indians,Royal Challengers Bengaluru,187/8,181/5,Mumbai Indians,6,runs,,2019,Mumbai Indians,
27-03-2019,India,Kolkata,"Eden Gardens, Kolkata",6th Match,Night,Punjab Kings,Kolkata Knight Riders,218/4,190/4,Kolkata Knight Riders,28,runs,,2019,Mumbai Indians,
26-03-2019,India,Delhi,"Arun Jaitley Stadium, Delhi",5th Match,Night,Chennai Super Kings,Delhi Capitals,147/6,150/4,Chennai Super Kings,6,wickets,2 balls remaining,2019,Mumbai Indians,
25-03-2019,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",4th Match,Night,Punjab Kings,Rajasthan Royals,184/4,170/9,Punjab Kings,14,runs,,2019,Mumbai Indians,
24-03-2019,India,Kolkata,"Eden Gardens, Kolkata",2nd Match,Day/Night,Sunrisers Hyderabad,Kolkata Knight Riders,181/3,183/4,Kolkata Knight Riders,6,wickets,2 balls remaining,2019,Mumbai Indians,
24-03-2019,India,Mumbai,"Wankhede Stadium, Mumbai",3rd Match,Night,Delhi Capitals,Mumbai Indians,213/6,176/9,Delhi Capitals,37,runs,,2019,Mumbai Indians,
23-03-2019,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",1st Match,Night,Royal Challengers Bengaluru,Chennai Super Kings,70/10,71/3,Chennai Super Kings,7,wickets,14 balls remaining,2019,Mumbai Indians,
